date,ticker,signal,close_price,exec_price,shares_affected,cash_after,portfolio_value,pnl_pct,exit_reason,chandelier_stop,bars_in_cooldown,note
2026-06-19,BSOFT.NS,HOLD,327.4000,,,76953.97,98322.37,-1.6776,,,,
2026-06-22,WHIRLPOOL.NS,HOLD,816.9000,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,SIEMENS.NS,HOLD,3770.0000,,,18112.77,39636.77,-60.3632,,3446.5006,,
2026-06-22,BAJAJ-AUTO.NS,HOLD,10214.0000,,,18112.77,39636.77,-60.3632,,9767.6468,,
2026-06-22,HCLTECH.NS,HOLD,1128.7000,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,COLPAL.NS,HOLD,1981.9000,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,ANURAS.NS,HOLD,1282.0000,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,HEROMOTOCO.NS,HOLD,4988.9000,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,NEWGEN.NS,HOLD,481.8000,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,JKTYRE.NS,HOLD,410.3500,,,18112.77,39636.77,-60.3632,,,,
2026-06-22,BSOFT.NS,HOLD,316.9500,,,18112.77,39636.77,-60.3632,,,,
2026-06-23,WHIRLPOOL.NS,HOLD,806.0000,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,SIEMENS.NS,SELL,3681.0000,3679.1595,3,29123.51,39122.51,-60.8775,STRATEGY_SIGNAL,3463.6278,,
2026-06-23,BAJAJ-AUTO.NS,HOLD,9999.0000,,,29123.51,39122.51,-60.8775,,9767.6468,,
2026-06-23,HCLTECH.NS,HOLD,1108.3000,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,COLPAL.NS,HOLD,1982.1000,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,ANURAS.NS,HOLD,1272.9000,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,HEROMOTOCO.NS,HOLD,4984.0000,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,NEWGEN.NS,REGIME_SKIP,471.5500,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,JKTYRE.NS,HOLD,407.0000,,,29123.51,39122.51,-60.8775,,,,
2026-06-23,BSOFT.NS,HOLD,308.0000,,,29123.51,39122.51,-60.8775,,,,
2026-06-24,WHIRLPOOL.NS,HOLD,815.0000,,,18042.13,38471.13,-61.5289,,,,
2026-06-24,SIEMENS.NS,HOLD,3558.0000,,,18042.13,38471.13,-61.5289,,3366.0000,,
2026-06-24,BAJAJ-AUTO.NS,HOLD,9755.0000,,,18042.13,38471.13,-61.5289,,9747.7945,,
2026-06-24,HCLTECH.NS,HOLD,1112.5000,,,18042.13,38471.13,-61.5289,,,,
